sample_label,cluster
monkeyc1g1s1,2
monkeyc1g1s10,2
monkeyc1g1s100,2
monkeyc1g1s101,4
monkeyc1g1s102,2
monkeyc1g1s103,5
monkeyc1g1s104,5
monkeyc1g1s105,2
monkeyc1g1s106,4
monkeyc1g1s107,2
monkeyc1g1s108,2
monkeyc1g1s109,2
monkeyc1g1s11,4
monkeyc1g1s110,2
monkeyc1g1s111,4
monkeyc1g1s112,2
monkeyc1g1s113,2
monkeyc1g1s114,2
monkeyc1g1s115,2
monkeyc1g1s116,2
monkeyc1g1s117,5
monkeyc1g1s118,5
monkeyc1g1s119,2
monkeyc1g1s12,4
monkeyc1g1s120,5
monkeyc1g1s121,2
monkeyc1g1s122,5
monkeyc1g1s123,2
monkeyc1g1s124,2
monkeyc1g1s125,5
monkeyc1g1s126,5
monkeyc1g1s127,2
monkeyc1g1s128,2
monkeyc1g1s129,2
monkeyc1g1s13,2
monkeyc1g1s130,2
monkeyc1g1s131,2
monkeyc1g1s132,2
monkeyc1g1s133,2
monkeyc1g1s134,2
monkeyc1g1s135,5
monkeyc1g1s136,5
monkeyc1g1s137,5
monkeyc1g1s138,2
monkeyc1g1s139,2
monkeyc1g1s14,2
monkeyc1g1s140,2
monkeyc1g1s141,2
monkeyc1g1s142,2
monkeyc1g1s143,5
monkeyc1g1s144,2
monkeyc1g1s145,2
monkeyc1g1s146,5
monkeyc1g1s147,4
monkeyc1g1s148,2
monkeyc1g1s149,5
monkeyc1g1s15,2
monkeyc1g1s150,5
monkeyc1g1s151,2
monkeyc1g1s152,2
monkeyc1g1s153,5
monkeyc1g1s154,5
monkeyc1g1s155,2
monkeyc1g1s156,2
monkeyc1g1s157,2
monkeyc1g1s158,2
monkeyc1g1s159,2
monkeyc1g1s16,2
monkeyc1g1s160,2
monkeyc1g1s161,5
monkeyc1g1s162,2
monkeyc1g1s163,2
monkeyc1g1s164,2
monkeyc1g1s165,2
monkeyc1g1s166,2
monkeyc1g1s167,4
monkeyc1g1s168,2
monkeyc1g1s169,2
monkeyc1g1s17,5
monkeyc1g1s170,2
monkeyc1g1s171,2
monkeyc1g1s172,5
monkeyc1g1s173,4
monkeyc1g1s174,2
monkeyc1g1s175,2
monkeyc1g1s176,2
monkeyc1g1s177,2
monkeyc1g1s178,5
monkeyc1g1s179,2
monkeyc1g1s18,5
monkeyc1g1s180,5
monkeyc1g1s181,4
monkeyc1g1s182,2
monkeyc1g1s183,5
monkeyc1g1s184,2
monkeyc1g1s185,2
monkeyc1g1s186,2
monkeyc1g1s187,2
monkeyc1g1s188,5
monkeyc1g1s189,2
monkeyc1g1s19,5
monkeyc1g1s190,2
monkeyc1g1s191,4
monkeyc1g1s192,2
monkeyc1g1s193,2
monkeyc1g1s194,2
monkeyc1g1s195,4
monkeyc1g1s196,2
monkeyc1g1s197,2
monkeyc1g1s198,5
monkeyc1g1s199,2
monkeyc1g1s2,4
monkeyc1g1s20,2
monkeyc1g1s200,2
monkeyc1g1s201,2
monkeyc1g1s202,5
monkeyc1g1s203,5
monkeyc1g1s204,2
monkeyc1g1s205,5
monkeyc1g1s206,2
monkeyc1g1s207,2
monkeyc1g1s208,5
monkeyc1g1s209,2
monkeyc1g1s21,2
monkeyc1g1s210,5
monkeyc1g1s211,4
monkeyc1g1s212,2
monkeyc1g1s213,2
monkeyc1g1s214,5
monkeyc1g1s215,2
monkeyc1g1s216,2
monkeyc1g1s217,2
monkeyc1g1s218,2
monkeyc1g1s219,2
monkeyc1g1s22,2
monkeyc1g1s220,2
monkeyc1g1s221,2
monkeyc1g1s222,5
monkeyc1g1s223,2
monkeyc1g1s224,2
monkeyc1g1s225,5
monkeyc1g1s226,5
monkeyc1g1s227,2
monkeyc1g1s228,5
monkeyc1g1s229,2
monkeyc1g1s23,2
monkeyc1g1s230,5
monkeyc1g1s231,5
monkeyc1g1s232,5
monkeyc1g1s233,5
monkeyc1g1s234,4
monkeyc1g1s235,4
monkeyc1g1s236,2
monkeyc1g1s237,2
monkeyc1g1s238,2
monkeyc1g1s239,2
monkeyc1g1s24,5
monkeyc1g1s240,2
monkeyc1g1s241,5
monkeyc1g1s242,2
monkeyc1g1s243,5
monkeyc1g1s244,2
monkeyc1g1s245,5
monkeyc1g1s246,2
monkeyc1g1s247,2
monkeyc1g1s248,2
monkeyc1g1s249,2
monkeyc1g1s25,5
monkeyc1g1s250,2
monkeyc1g1s251,2
monkeyc1g1s252,2
monkeyc1g1s253,5
monkeyc1g1s254,2
monkeyc1g1s255,5
monkeyc1g1s256,2
monkeyc1g1s257,2
monkeyc1g1s258,4
monkeyc1g1s259,2
monkeyc1g1s26,5
monkeyc1g1s260,2
monkeyc1g1s261,5
monkeyc1g1s262,4
monkeyc1g1s263,5
monkeyc1g1s264,2
monkeyc1g1s265,2
monkeyc1g1s266,2
monkeyc1g1s267,5
monkeyc1g1s268,5
monkeyc1g1s269,2
monkeyc1g1s27,2
monkeyc1g1s270,2
monkeyc1g1s271,2
monkeyc1g1s272,2
monkeyc1g1s273,2
monkeyc1g1s274,5
monkeyc1g1s275,5
monkeyc1g1s276,5
monkeyc1g1s277,5
monkeyc1g1s278,2
